 a    b   | sum
---------------------------
0000 0000 | 00000 (0)
0000 0001 | 00001 (1)
0000 0010 | 00010 (2)
0000 0011 | 00011 (3)
0000 0100 | 00100 (4)
0000 0101 | 00101 (5)
0000 0110 | 00110 (6)
0000 0111 | 00111 (7)
0000 1000 | 01000 (8)
0000 1001 | 01001 (9)
0000 1010 | 01010 (10)
0000 1011 | 01011 (11)
0000 1100 | 01100 (12)
0000 1101 | 01101 (13)
0000 1110 | 01110 (14)
0000 1111 | 01111 (15)
0001 0000 | 00001 (1)
0001 0001 | 00010 (2)
0001 0010 | 00011 (3)
0001 0011 | 00100 (4)
0001 0100 | 00101 (5)
0001 0101 | 00110 (6)
0001 0110 | 00111 (7)
0001 0111 | 01000 (8)
0001 1000 | 01001 (9)
0001 1001 | 01010 (10)
0001 1010 | 01011 (11)
0001 1011 | 01100 (12)
0001 1100 | 01101 (13)
0001 1101 | 01110 (14)
0001 1110 | 01111 (15)
0001 1111 | 10000 (16)
0010 0000 | 00010 (2)
0010 0001 | 00011 (3)
0010 0010 | 00100 (4)
0010 0011 | 00101 (5)
0010 0100 | 00110 (6)
0010 0101 | 00111 (7)
0010 0110 | 01000 (8)
0010 0111 | 01001 (9)
0010 1000 | 01010 (10)
0010 1001 | 01011 (11)
0010 1010 | 01100 (12)
0010 1011 | 01101 (13)
0010 1100 | 01110 (14)
0010 1101 | 01111 (15)
0010 1110 | 10000 (16)
0010 1111 | 10001 (17)
0011 0000 | 00011 (3)
0011 0001 | 00100 (4)
0011 0010 | 00101 (5)
0011 0011 | 00110 (6)
0011 0100 | 00111 (7)
0011 0101 | 01000 (8)
0011 0110 | 01001 (9)
0011 0111 | 01010 (10)
0011 1000 | 01011 (11)
0011 1001 | 01100 (12)
0011 1010 | 01101 (13)
0011 1011 | 01110 (14)
0011 1100 | 01111 (15)
0011 1101 | 10000 (16)
0011 1110 | 10001 (17)
0011 1111 | 10010 (18)
0100 0000 | 00100 (4)
0100 0001 | 00101 (5)
0100 0010 | 00110 (6)
0100 0011 | 00111 (7)
0100 0100 | 01000 (8)
0100 0101 | 01001 (9)
0100 0110 | 01010 (10)
0100 0111 | 01011 (11)
0100 1000 | 01100 (12)
0100 1001 | 01101 (13)
0100 1010 | 01110 (14)
0100 1011 | 01111 (15)
0100 1100 | 10000 (16)
0100 1101 | 10001 (17)
0100 1110 | 10010 (18)
0100 1111 | 10011 (19)
0101 0000 | 00101 (5)
0101 0001 | 00110 (6)
0101 0010 | 00111 (7)
0101 0011 | 01000 (8)
0101 0100 | 01001 (9)
0101 0101 | 01010 (10)
0101 0110 | 01011 (11)
0101 0111 | 01100 (12)
0101 1000 | 01101 (13)
0101 1001 | 01110 (14)
0101 1010 | 01111 (15)
0101 1011 | 10000 (16)
0101 1100 | 10001 (17)
0101 1101 | 10010 (18)
0101 1110 | 10011 (19)
0101 1111 | 10100 (20)
0110 0000 | 00110 (6)
0110 0001 | 00111 (7)
0110 0010 | 01000 (8)
0110 0011 | 01001 (9)
0110 0100 | 01010 (10)
0110 0101 | 01011 (11)
0110 0110 | 01100 (12)
0110 0111 | 01101 (13)
0110 1000 | 01110 (14)
0110 1001 | 01111 (15)
0110 1010 | 10000 (16)
0110 1011 | 10001 (17)
0110 1100 | 10010 (18)
0110 1101 | 10011 (19)
0110 1110 | 10100 (20)
0110 1111 | 10101 (21)
0111 0000 | 00111 (7)
0111 0001 | 01000 (8)
0111 0010 | 01001 (9)
0111 0011 | 01010 (10)
0111 0100 | 01011 (11)
0111 0101 | 01100 (12)
0111 0110 | 01101 (13)
0111 0111 | 01110 (14)
0111 1000 | 01111 (15)
0111 1001 | 10000 (16)
0111 1010 | 10001 (17)
0111 1011 | 10010 (18)
0111 1100 | 10011 (19)
0111 1101 | 10100 (20)
0111 1110 | 10101 (21)
0111 1111 | 10110 (22)
1000 0000 | 01000 (8)
1000 0001 | 01001 (9)
1000 0010 | 01010 (10)
1000 0011 | 01011 (11)
1000 0100 | 01100 (12)
1000 0101 | 01101 (13)
1000 0110 | 01110 (14)
1000 0111 | 01111 (15)
1000 1000 | 10000 (16)
1000 1001 | 10001 (17)
1000 1010 | 10010 (18)
1000 1011 | 10011 (19)
1000 1100 | 10100 (20)
1000 1101 | 10101 (21)
1000 1110 | 10110 (22)
1000 1111 | 10111 (23)
1001 0000 | 01001 (9)
1001 0001 | 01010 (10)
1001 0010 | 01011 (11)
1001 0011 | 01100 (12)
1001 0100 | 01101 (13)
1001 0101 | 01110 (14)
1001 0110 | 01111 (15)
1001 0111 | 10000 (16)
1001 1000 | 10001 (17)
1001 1001 | 10010 (18)
1001 1010 | 10011 (19)
1001 1011 | 10100 (20)
1001 1100 | 10101 (21)
1001 1101 | 10110 (22)
1001 1110 | 10111 (23)
1001 1111 | 11000 (24)
1010 0000 | 01010 (10)
1010 0001 | 01011 (11)
1010 0010 | 01100 (12)
1010 0011 | 01101 (13)
1010 0100 | 01110 (14)
1010 0101 | 01111 (15)
1010 0110 | 10000 (16)
1010 0111 | 10001 (17)
1010 1000 | 10010 (18)
1010 1001 | 10011 (19)
1010 1010 | 10100 (20)
1010 1011 | 10101 (21)
1010 1100 | 10110 (22)
1010 1101 | 10111 (23)
1010 1110 | 11000 (24)
1010 1111 | 11001 (25)
1011 0000 | 01011 (11)
1011 0001 | 01100 (12)
1011 0010 | 01101 (13)
1011 0011 | 01110 (14)
1011 0100 | 01111 (15)
1011 0101 | 10000 (16)
1011 0110 | 10001 (17)
1011 0111 | 10010 (18)
1011 1000 | 10011 (19)
1011 1001 | 10100 (20)
1011 1010 | 10101 (21)
1011 1011 | 10110 (22)
1011 1100 | 10111 (23)
1011 1101 | 11000 (24)
1011 1110 | 11001 (25)
1011 1111 | 11010 (26)
1100 0000 | 01100 (12)
1100 0001 | 01101 (13)
1100 0010 | 01110 (14)
1100 0011 | 01111 (15)
1100 0100 | 10000 (16)
1100 0101 | 10001 (17)
1100 0110 | 10010 (18)
1100 0111 | 10011 (19)
1100 1000 | 10100 (20)
1100 1001 | 10101 (21)
1100 1010 | 10110 (22)
1100 1011 | 10111 (23)
1100 1100 | 11000 (24)
1100 1101 | 11001 (25)
1100 1110 | 11010 (26)
1100 1111 | 11011 (27)
1101 0000 | 01101 (13)
1101 0001 | 01110 (14)
1101 0010 | 01111 (15)
1101 0011 | 10000 (16)
1101 0100 | 10001 (17)
1101 0101 | 10010 (18)
1101 0110 | 10011 (19)
1101 0111 | 10100 (20)
1101 1000 | 10101 (21)
1101 1001 | 10110 (22)
1101 1010 | 10111 (23)
1101 1011 | 11000 (24)
1101 1100 | 11001 (25)
1101 1101 | 11010 (26)
1101 1110 | 11011 (27)
1101 1111 | 11100 (28)
1110 0000 | 01110 (14)
1110 0001 | 01111 (15)
1110 0010 | 10000 (16)
1110 0011 | 10001 (17)
1110 0100 | 10010 (18)
1110 0101 | 10011 (19)
1110 0110 | 10100 (20)
1110 0111 | 10101 (21)
1110 1000 | 10110 (22)
1110 1001 | 10111 (23)
1110 1010 | 11000 (24)
1110 1011 | 11001 (25)
1110 1100 | 11010 (26)
1110 1101 | 11011 (27)
1110 1110 | 11100 (28)
1110 1111 | 11101 (29)
1111 0000 | 01111 (15)
