// For 0th digit of a 4-bit sum:

 a    b   | sum
---------------------------
0 0 | 0
0 1 | 1
0 0 | 0              sum = a ^ b;
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
0 0 | 0
0 1 | 1
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
1 0 | 1
1 1 | 0
