// For 1st digit of a 4-bit sum:

 a    b   | sum
---------------------------
00 00 | 0
00 01 | 0
00 10 | 1
00 11 | 1
                        00 00 | 0
                        00 01 | 0
                        00 10 | 1
                        00 11 | 1
                        00 00 | 0
                        00 01 | 0
                        00 10 | 1
                        00 11 | 1
                        00 00 | 0
                        00 01 | 0
                        00 10 | 1
                        00 11 | 1
01 00 | 0
01 01 | 1
01 10 | 1
01 11 | 0
                        01 00 | 0
                        01 01 | 1
                        01 10 | 1
                        01 11 | 0
                        01 00 | 0
                        01 01 | 1
                        01 10 | 1
                        01 11 | 0
                        01 00 | 0
                        01 01 | 1
                        01 10 | 1
                        01 11 | 0
10 00 | 1
10 01 | 1
10 10 | 0
10 11 | 0
                        10 00 | 1
                        10 01 | 1
                        10 10 | 0
                        10 11 | 0
                        10 00 | 1
                        10 01 | 1
                        10 10 | 0
                        10 11 | 0
                        10 00 | 1
                        10 01 | 1
                        10 10 | 0
                        10 11 | 0
11 00 | 1
11 01 | 0
11 10 | 0
11 11 | 1

11 00 | 1
11 01 | 0
11 10 | 0
11 11 | 1
11 00 | 1
11 01 | 0
11 10 | 0
11 11 | 1
11 00 | 1
11 01 | 0
11 10 | 0
11 11 | 1
00 00 | 0
00 01 | 0
00 10 | 1
00 11 | 1
00 00 | 0
00 01 | 0
00 10 | 1
00 11 | 1
00 00 | 0
00 01 | 0
00 10 | 1
00 11 | 1
00 00 | 0
00 01 | 0
00 10 | 1
00 11 | 1
01 00 | 0
01 01 | 1
01 10 | 1
01 11 | 0
01 00 | 0
01 01 | 1
01 10 | 1
01 11 | 0
01 00 | 0
01 01 | 1
01 10 | 1
01 11 | 0
01 00 | 0
01 01 | 1
01 10 | 1
01 11 | 0
10 00 | 1
10 01 | 1
10 10 | 0
10 11 | 0
10 00 | 1
10 01 | 1
10 10 | 0
10 11 | 0
10 00 | 1
10 01 | 1
10 10 | 0
10 11 | 0
10 00 | 1
10 01 | 1
10 10 | 0
10 11 | 0
11 00 | 1
11 01 | 0
11 10 | 0
11 11 | 1
11 00 | 1
11 01 | 0
11 10 | 0
11 11 | 1
11 00 | 1
11 01 | 0
11 10 | 0
11 11 | 1
11 00 | 1
11 01 | 0
11 10 | 0
11 11 | 1
00 00 | 0
00 01 | 0
00 10 | 1
00 11 | 1
00 00 | 0
00 01 | 0
00 10 | 1
00 11 | 1
00 00 | 0
00 01 | 0
00 10 | 1
00 11 | 1
00 00 | 0
00 01 | 0
00 10 | 1
00 11 | 1
01 00 | 0
01 01 | 1
01 10 | 1
01 11 | 0
01 00 | 0
01 01 | 1
01 10 | 1
01 11 | 0
01 00 | 0
01 01 | 1
01 10 | 1
01 11 | 0
01 00 | 0
01 01 | 1
01 10 | 1
01 11 | 0
10 00 | 1
10 01 | 1
10 10 | 0
10 11 | 0
10 00 | 1
10 01 | 1
10 10 | 0
10 11 | 0
10 00 | 1
10 01 | 1
10 10 | 0
10 11 | 0
10 00 | 1
10 01 | 1
10 10 | 0
10 11 | 0
11 00 | 1
11 01 | 0
11 10 | 0
11 11 | 1
11 00 | 1
11 01 | 0
11 10 | 0
11 11 | 1
11 00 | 1
11 01 | 0
11 10 | 0
11 11 | 1
11 00 | 1
11 01 | 0
11 10 | 0
11 11 | 1
00 00 | 0
00 01 | 0
00 10 | 1
00 11 | 1
00 00 | 0
00 01 | 0
00 10 | 1
00 11 | 1
00 00 | 0
00 01 | 0
00 10 | 1
00 11 | 1
00 00 | 0
00 01 | 0
00 10 | 1
00 11 | 1
01 00 | 0
01 01 | 1
01 10 | 1
01 11 | 0
01 00 | 0
01 01 | 1
01 10 | 1
01 11 | 0
01 00 | 0
01 01 | 1
01 10 | 1
01 11 | 0
01 00 | 0
01 01 | 1
01 10 | 1
01 11 | 0
10 00 | 1
10 01 | 1
10 10 | 0
10 11 | 0
10 00 | 1
10 01 | 1
10 10 | 0
10 11 | 0
10 00 | 1
10 01 | 1
10 10 | 0
10 11 | 0
10 00 | 1
10 01 | 1
10 10 | 0
10 11 | 0
11 00 | 1
11 01 | 0
11 10 | 0
11 11 | 1
11 00 | 1
11 01 | 0
11 10 | 0
11 11 | 1
11 00 | 1
11 01 | 0
11 10 | 0
11 11 | 1
11 00 | 1
11 01 | 0
11 10 | 0
11 11 | 1
